Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
385,-51.119,-102.100,0.096
386,-66.604,-105.635,0.092
387,-88.021,-109.618,0.083
388,-100.949,-112.993,0.064
389,-105.847,-114.388,0.048
390,-98.814,-113.694,0.060
391,-63.458,-111.795,0.079
392,-40.502,-110.991,0.086
393,-70.876,-112.653,0.084
394,-83.071,-114.104,0.087
395,-78.293,-113.799,0.084
396,-84.568,-113.336,0.081
397,-98.521,-113.845,0.068
398,-105.839,-115.059,0.051
399,-107.931,-115.849,0.047
400,-107.685,-115.650,0.046
401,-106.700,-114.791,0.046
402,-105.940,-113.465,0.044
403,-104.994,-111.821,0.041
404,-103.463,-110.383,0.042
405,-100.915,-109.037,0.047
406,-94.957,-107.127,0.061
407,-81.314,-104.250,0.075
408,-60.475,-101.553,0.086
409,-72.406,-100.179,0.077
410,-79.326,-102.373,0.072
411,-86.596,-104.974,0.073
412,-94.486,-109.461,0.070
413,-105.793,-113.838,0.051
414,-108.869,-115.574,0.042
415,-98.206,-114.889,0.067
416,-2.895,-112.067,0.097
417,352.336,-66.283,0.273
418,282.214,-109.937,0.126
419,-38.580,-115.637,0.089
420,-106.314,-119.723,0.064
421,-113.682,-121.406,0.050
422,-113.689,-121.411,0.053
423,-112.659,-120.099,0.052
424,-111.214,-118.522,0.050
425,-109.738,-117.109,0.049
426,-107.976,-115.321,0.048
427,-105.039,-112.483,0.050
428,-97.434,-108.688,0.067
429,-75.976,-103.962,0.090
430,-65.187,-99.938,0.085
431,-77.421,-98.704,0.080
